# model w_normal_1 w_normal_2
1.704071211071975928e-02 1.704071107979247823e-02 5.966855274509683681e-10
1.808100010565193844e-02 1.808099883587276774e-02 7.856745203438231126e-10
1.917359497900171517e-02 1.917359430805812975e-02 1.034248899277716107e-09
2.030023575350438023e-02 2.030023343617301176e-02 1.356790453214960250e-09
2.147153162265112020e-02 2.147153096642996292e-02 1.778929126724011806e-09
2.270062493023267819e-02 2.270062144877087185e-02 2.335618365482177953e-09
2.396143644925045196e-02 2.396143454263717845e-02 3.056131482297746285e-09
2.521455842354374324e-02 2.521455648663397178e-02 3.984394112888833202e-09
2.653659511929123624e-02 2.653658364356020413e-02 5.184562086108009481e-09
2.793335265427152395e-02 2.793334719987578679e-02 6.733198287844101287e-09
2.931173430115292106e-02 2.931173219727364540e-02 8.727508166787364195e-09
3.076379700003718451e-02 3.076379295444872999e-02 1.129064254949448448e-08
3.226194609582971190e-02 3.226193630089203845e-02 1.455570471536600975e-08
3.379264109309743774e-02 3.379263567754527131e-02 1.871869093171850807e-08
3.538485518930706286e-02 3.538482513375146993e-02 2.405849513170407273e-08
3.691740298244163693e-02 3.691735774638685991e-02 3.094001977467455609e-08
3.859904420940978020e-02 3.859901800467438471e-02 3.971187773276096551e-08
4.032141715979323943e-02 4.032137304289695745e-02 5.082053779963012172e-08
4.192630656788605414e-02 4.192627265568925343e-02 6.486111272477698635e-08
4.358437540082019113e-02 4.358425819317060523e-02 8.262073765763428385e-08
4.532906782140386920e-02 4.532905195948327970e-02 1.050396524699959519e-07
4.704372755470595524e-02 4.704354099027648062e-02 1.332836934647569881e-07
4.880508398192685837e-02 4.880477218371000875e-02 1.687952794187794716e-07
5.057485083631997613e-02 5.057472400051474942e-02 2.133551397098051610e-07
5.232872027287838873e-02 5.232860899890256351e-02 2.691568623158993049e-07
5.411263700975182250e-02 5.411256243137441829e-02 3.388966994259340517e-07
5.585123096439777168e-02 5.585065376203630916e-02 4.259024132284423907e-07
5.766610573118576000e-02 5.766598181980385485e-02 5.347824981289534445e-07
5.941301651371332093e-02 5.941060579487442150e-02 6.692891503335740883e-07
6.122197398788351008e-02 6.122107986777874933e-02 8.354976048665806422e-07
6.301732989165884091e-02 6.301614850980989668e-02 1.041765026341963188e-06
6.477957418316464266e-02 6.477769362040272649e-02 1.296548791765014808e-06
6.644371685419774021e-02 6.644329228378305363e-02 1.610525075365512383e-06
6.815085326437100854e-02 6.814778507048160905e-02 1.996667054946474197e-06
6.981985972865245582e-02 6.981819072912806567e-02 2.470605182346431881e-06
7.141253402422799434e-02 7.141137534650698893e-02 3.051129063885783825e-06
7.298170656547840751e-02 7.298025303046848378e-02 3.760774941934086443e-06
7.455861782293767004e-02 7.455724550781002435e-02 4.626511488792156057e-06
7.608728632954889215e-02 7.607075552841141564e-02 5.673682597306100625e-06
7.755533084283768031e-02 7.754886567718555224e-02 6.933813165464063737e-06
7.888436894721026493e-02 7.887890044872765405e-02 8.468796038858300549e-06
8.019272964406115589e-02 8.015938670668545929e-02 1.035304432754825667e-05
8.136343673975245105e-02 8.135420551579075621e-02 1.263181140888994766e-05
8.255117333468960095e-02 8.254334921278251580e-02 1.538205473259282330e-05
8.381669028669912203e-02 8.379931260070518084e-02 1.868765139835031156e-05
8.492705315388565657e-02 8.491123237154400705e-02 2.260897315306786872e-05
8.594948729222545714e-02 8.592175067013869960e-02 2.730482306462089854e-05
8.688157745391333897e-02 8.685227750112775591e-02 3.293088120304920815e-05
8.780116482720085047e-02 8.772768801978891862e-02 3.967780784163213708e-05
8.861026061599951154e-02 8.852307996907669840e-02 4.771424120753836964e-05
8.918486393183114314e-02 8.912155231483202822e-02 5.726699672845319471e-05
8.973474958944259450e-02 8.965309229584721151e-02 6.859884891362277024e-05
9.025485273670086350e-02 9.020850774458309684e-02 8.201348807744974221e-05
9.070157855348433273e-02 9.053320335600831270e-02 9.781441185436511509e-05
9.102856222564303934e-02 9.094124425807027789e-02 1.163135856291122030e-04
9.133129012781847356e-02 9.114485030827855494e-02 1.378459867815337017e-04
9.145759057568474126e-02 9.128596295355334567e-02 1.630576213735916670e-04
9.151457337186436058e-02 9.130145000271308597e-02 1.925180136697146680e-04
9.145196073618779009e-02 9.113856098922605564e-02 2.268741080562229964e-04
9.124658179680328329e-02 9.093917586058673785e-02 2.679889352028262954e-04
9.101061701343531041e-02 9.070227837555949746e-02 3.161173968457399539e-04
9.070515135663131945e-02 9.031382912582454348e-02 3.721526904864919279e-04
9.034688595257235610e-02 8.992267621219378337e-02 4.372553797247918125e-04
8.992567447582640316e-02 8.936138245236133204e-02 5.114890075469753685e-04
8.941590206266172847e-02 8.870422772968926395e-02 5.971652088263880182e-04
8.876190260712847613e-02 8.797460951386247563e-02 6.956839770917521261e-04
8.806714996817903429e-02 8.713854001879996203e-02 8.088473618987963203e-04
8.736900247199962111e-02 8.623578615980907747e-02 9.386206508641377951e-04
8.657958043408217619e-02 8.539607126368618795e-02 1.087132791895149050e-03
8.562882115133289840e-02 8.442027552708492033e-02 1.256735970888430342e-03
8.472685778546762414e-02 8.319861279516066466e-02 1.449298422479083741e-03
8.389530084362047113e-02 8.208842097312135655e-02 1.666414240085859139e-03
8.290851930028429739e-02 8.077085442008105631e-02 1.912658418934834329e-03
8.181543363355570087e-02 7.947874203472911347e-02 2.195733724386983183e-03
