# model w_normal_1 w_normal_2
3.989231552036000966e-02 5.469508796217540969e-05 3.978246305060693239e-02
3.659205419720189256e-02 4.877699902652611879e-05 3.651740098919600830e-02
3.349212482620243098e-02 4.345947514507221836e-05 3.340383137975926758e-02
3.060310293013345645e-02 3.868753055687422911e-05 3.052419975523798512e-02
2.790757069235658486e-02 3.440920779814729617e-05 2.781228588356067163e-02
2.538518312660283452e-02 3.057704207881124244e-05 2.531482458324805368e-02
2.303864502671821093e-02 2.717786996529609187e-05 2.298518651294088888e-02
2.089429425426066883e-02 2.424424108994541855e-05 2.082241659808506395e-02
1.888283485944039497e-02 2.160990777736469440e-05 1.882739360281674573e-02
1.702357504496127688e-02 1.919057898469648778e-05 1.698901852720345954e-02
1.533685161947559265e-02 1.697085356942555786e-05 1.530135411591798666e-02
1.379424808642033297e-02 1.499461177238561292e-05 1.377362727351989086e-02
1.239004355386794445e-02 1.323679054008919769e-05 1.237434133255515926e-02
1.111734545560590787e-02 1.167470991871876504e-05 1.108740537349696062e-02
9.952173775166137798e-03 1.028786913945738188e-05 9.912057738219725092e-03
8.879170503079838669e-03 9.057757629867998125e-06 8.848194390442232563e-03
7.909491948536745073e-03 7.967680132129545533e-06 7.887942745503367589e-03
7.043180338607699618e-03 7.002595123924061993e-06 7.013014729151108122e-03
6.253898636830216087e-03 6.166379190495930225e-06 6.223562842135806593e-03
5.542540706053470344e-03 5.428150137288928694e-06 5.513754234874553017e-03
4.895454390424142273e-03 4.774257315103727262e-06 4.875612196736433222e-03
4.315710426477244524e-03 4.195581289973689258e-06 4.306573954012795150e-03
3.793372125198310636e-03 3.683925210948723668e-06 3.790643407655151179e-03
3.336996579323192776e-03 3.231929037472700405e-06 3.336015207331251894e-03
2.929997152836204353e-03 2.832990871956063288e-06 2.924761177200572038e-03
2.564880534126092598e-03 2.481194905750608520e-06 2.561764990165967242e-03
2.240618000030924692e-03 2.171245510160387576e-06 2.237779737162597093e-03
1.955941787126272251e-03 1.898407027645188681e-06 1.953541967395450250e-03
1.705421639951626347e-03 1.658448841814059763e-06 1.697567534911926038e-03
1.479561102018328795e-03 1.447595328006617351e-06 1.475204326188785109e-03
1.285186949174084827e-03 1.261309676629806741e-06 1.279520132817762133e-03
1.116599164472386685e-03 1.097372860380553147e-06 1.107673843052808978e-03
9.630778337654575085e-04 9.539198041792033048e-07 9.587386624344599283e-04
8.291039481591375550e-04 8.285041295244933193e-07 8.284218934395226434e-04
7.150389693602236894e-04 7.189565620007638084e-07 7.134824827818660089e-04
6.152975070141947353e-04 6.225844937283052389e-07 6.123587468820433210e-04
